GO:0070935	3'-UTR-mediated mRNA stabilization
GO:0030027^OBO_REL:part_of(TAO:0000004)	lamellipodium of anterior axial hypoblast
GO:0030027^OBO_REL:part_of(CARO:0000013)	lamellipodium of cell
GO:0030027^OBO_REL:part_of(CARO:0000077)	lamellipodium of epithelial cell
GO:0030027^OBO_REL:part_of(TAO:0000117)	lamellipodium of hypoblast
GO:0030027^OBO_REL:part_of(CL:0000222)	lamellipodium of mesodermal cell
GO:0008003^OBO_REL:part_of(TAO:0001288)	lamina densa of renal glomeruli
GO:0043236^OBO_REL:part_of(TAO:0001094)	laminin binding of body
GO:0043256^OBO_REL:part_of(TAO:0000155)	laminin complex of somite
TAO:0000530	lapillus
GO:0002164	larval development
GO:0008345	larval locomotory behavior
TAO:0005220	larval melanophore stripe
TAO:0005220^OBO_REL:part_of(TAO:0001115)	larval melanophore stripe of trunk
TAO:0000166	lateral crista
TAO:0000225	lateral crista primordium
TAO:0001054	lateral dorsal aorta
TAO:0001256	lateral floor plate
TAO:0005223	lateral larval melanophore stripe
TAO:0001469	lateral line
GO:0048882	lateral line development
TAO:0001479	lateral line nerve
GO:0048896	lateral line nerve glial cell migration
TAO:0000034	lateral line system
TAO:0000534	lateral longitudinal fasciculus
TAO:0001065	lateral mesoderm
GO:0048368	lateral mesoderm development
GO:0048371	lateral mesodermal cell differentiation
TAO:0000121	lateral plate mesoderm
TAO:0000383	lateral rectus
BSPO:0000082^OBO_REL:part_of(TAO:0000197)	lateral region of dorsal nucleus
TAO:0000220	lateral semicircular canal
TAO:0000232	lateral semicircular canal primordium
BSPO:0000000^OBO_REL:part_of(TAO:0000213)	left side of habenula
BSPO:0000000^OBO_REL:part_of(TAO:0000028)	left side of heart primordium
BSPO:0000000^OBO_REL:part_of(TAO:0000255)	left side of paraxial mesoderm
BSPO:0000000^OBO_REL:part_of(TAO:0000948)	left side of rhombomere 3
BSPO:0000000^OBO_REL:part_of(TAO:0000823)	left side of rhombomere 5
BSPO:0000017^OBO_REL:part_of(TAO:0001094)	left/right axis of body
GO:0070986	left/right axis specification
GO:0060972	left/right pattern formation
TAO:0000035	lens
ZFA:0005574	lens capsule
GO:0002088	lens development in camera-type eye
GO:0097166	lens epithelial cell proliferation
TAO:0001326	lens epithelium
GO:0070307	lens fiber cell development
GO:0070306	lens fiber cell differentiation
GO:0070308	lens fiber cell fate commitment
GO:0002089	lens morphogenesis in camera-type eye
TAO:0002205	lens vesicle
VSAO:0000172	lepidotrichium
VSAO:0000172^OBO_REL:part_of(VSAO:0000163)	lepidotrichium of anal fin
VSAO:0000172^OBO_REL:part_of(VSAO:0000164)	lepidotrichium of caudal fin
VSAO:0000172^OBO_REL:part_of(VSAO:0000165)	lepidotrichium of dorsal fin
VSAO:0000172^OBO_REL:part_of(TAO:0001269)	lepidotrichium of regenerating fin
GO:0000237	leptotene
GO:0006551	leucine metabolic process
TAO:0009309	leukocyte
GO:0030595	leukocyte chemotaxis
GO:0002521	leukocyte differentiation
GO:0050900	leukocyte migration
GO:0002522	leukocyte migration involved in immune response
GO:0002523	leukocyte migration involved in inflammatory response
TAO:0009309^OBO_REL:part_of(TAO:0001069)	leukocyte of ventral fin fold
TAO:0000384	levator arcus palatini
TAO:0000537	levator operculi
GO:0036022	limb joint morphogenesis
TAO:0007006	lip
GO:0010876	lipid localization
GO:0006629	lipid metabolic process
GO:0005811^OBO_REL:part_of(TAO:0009111)	lipid particle of hepatocyte
GO:0005811^OBO_REL:part_of(TAO:0000123)	lipid particle of liver
GO:0042577	lipid phosphatase activity
GO:0019915	lipid storage
TAO:0000123	liver
TAO:0000036	liver and biliary system
GO:0001889	liver development
GO:0072576	liver morphogenesis
TAO:0000124	liver primordium
GO:0040011	locomotion
GO:0031987	locomotion involved in locomotory behavior
GO:0007626	locomotory behavior
GO:0035641	locomotory exploration behavior
GO:0021703	locus ceruleus development
TAO:0000539	locus coeruleus
GO:0014801^OBO_REL:part_of(TAO:0005277)	longitudinal sarcoplasmic reticulum of skeletal muscle
TAO:0005105	lymph vessel
GO:0001945	lymph vessel development
TAO:0005258	lymph vessel endothelium
TAO:0005105^OBO_REL:part_of(TAO:0001115)	lymph vessel of trunk
ZFA:0005605	lymphangioblast cord
GO:0001946	lymphangiogenesis
GO:0060836	lymphatic endothelial cell differentiation
TAO:0000385	lymphatic system
TAO:0009250	lymphocyte
GO:0030098	lymphocyte differentiation
TAO:0009250^OBO_REL:part_of(TAO:0000007)	lymphocyte of blood
TAO:0009250^OBO_REL:part_of(TAO:0001094)	lymphocyte of body
TAO:0009250^OBO_REL:part_of(TAO:0000669)	lymphocyte of head kidney
GO:0046651	lymphocyte proliferation
TAO:0009355	lymphoid progenitor cell
TAO:0009355^OBO_REL:part_of(TAO:0001094)	lymphoid progenitor cell of body
GO:0005764^OBO_REL:part_of(TAO:0009067)	lysosome of CNS neuron (sensu Vertebrata)
GO:0005764^OBO_REL:part_of(TAO:0009367)	lysosome of neuromast hair cell
GO:0005764^OBO_REL:part_of(TAO:0009363)	lysosome of neuromast support cell
GO:0006402	mRNA catabolic process
GO:0006406	mRNA export from nucleus
GO:0006378	mRNA polyadenylation
GO:0070054	mRNA splicing, via endonucleolytic cleavage and ligation
TAO:0009141	macrophage
GO:0002281	macrophage activation involved in immune response
GO:0048246	macrophage chemotaxis
GO:0030225	macrophage differentiation
TAO:0000386	macula
TAO:0007000	macula saccule
TAO:0000030	macula utricle
GO:0010960	magnesium ion homeostasis
GO:0015693	magnesium ion transport
GO:0043570	maintenance of DNA repeat elements
GO:0035633	maintenance of blood-brain barrier
GO:0045199	maintenance of epithelial cell apical/basal polarity
TAO:0000242	male
GO:0008584	male gonad development
GO:0007140	male meiosis
GO:0007141	male meiosis I
TAO:0001227	mandibular arch
TAO:0000236	mandibular muscle
TAO:0007064	mandibular neural crest
TAO:0000038	margin
TAO:0000038^OBO_REL:part_of(TAO:0001176)	margin of blastoderm
TAO:0000541	marginal blastomere
TAO:0009049	mature neutrophil
TAO:0000270	maxilla
GO:0007638	mechanosensory behavior
BSPO:0001001^OBO_REL:part_of(TAO:0001094)	medial axis of body
BSPO:0001001^OBO_REL:part_of(TAO:0000107)	medial axis of eye
BSPO:0001001^OBO_REL:part_of(TAO:0000279)	medial axis of segmental plate
BSPO:0001001^OBO_REL:part_of(TAO:0000155)	medial axis of somite
GO:0033338	medial fin development
GO:0035141	medial fin morphogenesis
TAO:0001257	medial floor plate
TAO:0005341	medial longitudinal catecholaminergic tract
TAO:0000543	medial longitudinal fasciculus
TAO:0000301	medial rectus
BSPO:0000083^OBO_REL:part_of(TAO:0000008)	medial region of brain
BSPO:0000083^OBO_REL:part_of(TAO:0000197)	medial region of dorsal nucleus
BSPO:0000083^OBO_REL:part_of(TAO:0000109)	medial region of forebrain
BSPO:0000083^OBO_REL:part_of(TAO:0000155)	medial region of somite
BSPO:0000067^OBO_REL:part_of(TAO:0000150)	medial side of pronephric duct
BSPO:0000067^OBO_REL:part_of(TAO:0000155)	medial side of somite
VSAO:0000162	median fin
TAO:0000040	median fin fold
VSAO:0000170	median fin skeleton
TAO:0001139	mediodorsal tooth row
GO:0060031	mediolateral intercalation
GO:0043060	meiotic metaphase I plate congression
GO:0007128	meiotic prophase I
GO:0042438	melanin biosynthetic process
TAO:0009249	melanoblast
TAO:0009249^OBO_REL:part_of(TAO:0000092)	melanoblast of axis
TAO:0009249^OBO_REL:part_of(TAO:0001114)	melanoblast of head
TAO:0009249^OBO_REL:part_of(TAO:0001115)	melanoblast of trunk
TAO:0009091	melanocyte
GO:0030318	melanocyte differentiation
TAO:0009091^OBO_REL:part_of(VSAO:0000164)	melanocyte of caudal fin
TAO:0009091^OBO_REL:part_of(TAO:0001119)	melanocyte of dermis
TAO:0009091^OBO_REL:part_of(TAO:0005221)	melanocyte of dorsal larval melanophore stripe
TAO:0009091^OBO_REL:part_of(TAO:0001114)	melanocyte of head
TAO:0009091^OBO_REL:part_of(TAO:0001136)	melanocyte of hypodermis
TAO:0009091^OBO_REL:part_of(VSAO:0000029)	melanocyte of integument
TAO:0009091^OBO_REL:part_of(TAO:0005220)	melanocyte of larval melanophore stripe
TAO:0009091^OBO_REL:part_of(TAO:0005223)	melanocyte of lateral larval melanophore stripe
TAO:0009091^OBO_REL:part_of(TAO:0001463)	melanocyte of melanophore stripe
TAO:0009091^OBO_REL:part_of(TAO:0001089)	melanocyte of myoseptum
TAO:0009091^OBO_REL:part_of(TAO:0001117)	melanocyte of post-vent region
TAO:0009091^OBO_REL:part_of(TAO:0000144)	melanocyte of retinal pigmented epithelium
TAO:0009091^OBO_REL:part_of(VSAO:0000048)	melanocyte of scale
TAO:0009091^OBO_REL:part_of(TAO:0001115)	melanocyte of trunk
TAO:0009091^OBO_REL:part_of(TAO:0005222)	melanocyte of ventral larval melanophore stripe
TAO:0009091^OBO_REL:part_of(TAO:0000084)	melanocyte of yolk
TAO:0009205	melanocyte stimulating hormone secreting cell
TAO:0001463	melanophore stripe
TAO:0001463^OBO_REL:part_of(VSAO:0000163)	melanophore stripe of anal fin
TAO:0001463^OBO_REL:part_of(VSAO:0000164)	melanophore stripe of caudal fin
TAO:0001463^OBO_REL:part_of(TAO:0001117)	melanophore stripe of post-vent region
TAO:0001463^OBO_REL:part_of(TAO:0001115)	melanophore stripe of trunk
TAO:0001463^OBO_REL:part_of(TAO:0000084)	melanophore stripe of yolk
GO:0032400	melanosome localization
GO:0042470^OBO_REL:part_of(VSAO:0000029)	melanosome of integument
GO:0042470^OBO_REL:part_of(TAO:0009091)	melanosome of melanocyte
GO:0042470^OBO_REL:part_of(TAO:0001117)	melanosome of post-vent region
GO:0042470^OBO_REL:part_of(TAO:0000144)	melanosome of retinal pigmented epithelium
GO:0042470^OBO_REL:part_of(TAO:0001115)	melanosome of trunk
GO:0032438	melanosome organization
GO:0032402	melanosome transport
GO:0030187	melatonin biosynthetic process
GO:0030186	melatonin metabolic process
GO:0051899	membrane depolarization
GO:0086009	membrane repolarization
TAO:0005092	mesencephalic vein
CL:0000134^OBO_REL:part_of(TAO:0000102)	mesenchymal cell of dorsal fin fold
CL:0000134^OBO_REL:part_of(TAO:0001117)	mesenchymal cell of post-vent region
CL:0000134^OBO_REL:part_of(TAO:0000706)	mesenchymal cell of posterior intestine
GO:0010463	mesenchymal cell proliferation
TAO:0000393	mesenchyme
TAO:0009166^OBO_REL:part_of(TAO:0001306)	mesenchyme condensation cell of pharyngeal arch
TAO:0000912	mesenchyme median fin fold
TAO:0000393^OBO_REL:part_of(TAO:0000112)	mesenchyme of gut
TAO:0000393^OBO_REL:part_of(TAO:0001306)	mesenchyme of pharyngeal arch
TAO:0000393^OBO_REL:part_of(TAO:0001595)	mesenchyme of pharyngeal arch 1
TAO:0000393^OBO_REL:part_of(TAO:0000706)	mesenchyme of posterior intestine
TAO:0000393^OBO_REL:part_of(TAO:0000076)	mesenchyme of swim bladder
GO:0048382	mesendoderm development
TAO:0000041	mesoderm
GO:0007498	mesoderm development
GO:0001707	mesoderm formation
TAO:0000041^OBO_REL:part_of(VSAO:0000163)	mesoderm of anal fin
TAO:0000041^OBO_REL:part_of(VSAO:0000164)	mesoderm of caudal fin
TAO:0000041^OBO_REL:part_of(TAO:0001114)	mesoderm of head
TAO:0000041^OBO_REL:part_of(TAO:0001117)	mesoderm of post-vent region
TAO:0000041^OBO_REL:part_of(TAO:0001115)	mesoderm of trunk
TAO:0001386	mesoderm pelvic fin bud
CL:0000222	mesodermal cell
GO:0007501	mesodermal cell fate specification
GO:0008078	mesodermal cell migration
CL:0000222^OBO_REL:part_of(TAO:0001204)	mesodermal cell of axial mesoderm
CL:0000222^OBO_REL:part_of(TAO:0000028)	mesodermal cell of heart primordium
CL:0000222^OBO_REL:part_of(TAO:0000117)	mesodermal cell of hypoblast
CL:0000222^OBO_REL:part_of(TAO:0001065)	mesodermal cell of lateral mesoderm
CL:0000222^OBO_REL:part_of(TAO:0000121)	mesodermal cell of lateral plate mesoderm
CL:0000222^OBO_REL:part_of(TAO:0000255)	mesodermal cell of paraxial mesoderm
GO:0060809	mesodermal to mesenchymal transition involved in gastrulation
TAO:0000546	mesonephric duct
TAO:0002208	mesonephric podocyte
TAO:0009040	mesothelial cell
TAO:0009040^OBO_REL:part_of(TAO:0000076)	mesothelial cell of swim bladder
GO:0008152	metabolic process
GO:0008237	metallopeptidase activity
TAO:0000240	metapterygoid
GO:0001527^OBO_REL:part_of(TAO:0000102)	microfibril of dorsal fin fold
TAO:0009077	microglial cell
GO:0046844	micropyle formation
GO:0005932^OBO_REL:part_of(TAO:0000001)	microtubule basal body of Kupffer's vesicle
GO:0005932^OBO_REL:part_of(TAO:0000938)	microtubule basal body of central canal
GO:0005932^OBO_REL:part_of(TAO:0000330)	microtubule basal body of cloacal chamber
GO:0005932^OBO_REL:part_of(TAO:0000107)	microtubule basal body of eye
GO:0005932^OBO_REL:part_of(TAO:0000022)	microtubule basal body of floor plate
GO:0005932^OBO_REL:part_of(TAO:0001135)	microtubule basal body of neural tube
GO:0005932^OBO_REL:part_of(TAO:0000051)	microtubule basal body of otic vesicle
GO:0005932^OBO_REL:part_of(TAO:0000255)	microtubule basal body of paraxial mesoderm
GO:0005932^OBO_REL:part_of(TAO:0000150)	microtubule basal body of pronephric duct
GO:0005932^OBO_REL:part_of(TAO:0000151)	microtubule basal body of pronephros
GO:0015630^OBO_REL:part_of(TAO:0009149)	microtubule cytoskeleton of Mauthner neuron
GO:0015630^OBO_REL:part_of(TAO:0001155)	microtubule cytoskeleton of enteric nervous system
GO:0015630^OBO_REL:part_of(TAO:0009248)	microtubule cytoskeleton of neuron
GO:0015630^OBO_REL:part_of(TAO:0001071)	microtubule cytoskeleton of presumptive retina
GO:0000226	microtubule cytoskeleton organization
GO:0005874^OBO_REL:part_of(TAO:0000309)	microtubule of E-YSL
GO:0005874^OBO_REL:part_of(TAO:0009149)	microtubule of Mauthner neuron
GO:0005874^OBO_REL:part_of(TAO:0000088)	microtubule of YSL
GO:0005874^OBO_REL:part_of(TAO:0000093)	microtubule of blastomere
GO:0005874^OBO_REL:part_of(TAO:0007036)	microtubule of hindbrain neural rod
GO:0005874^OBO_REL:part_of(TAO:0000541)	microtubule of marginal blastomere
GO:0005874^OBO_REL:part_of(TAO:0009367)	microtubule of neuromast hair cell
GO:0005874^OBO_REL:part_of(TAO:0009256)	microtubule of nucleate erythrocyte
GO:0005874^OBO_REL:part_of(TAO:0001567)	microtubule of oocyte stage I
GO:0005874^OBO_REL:part_of(TAO:0000150)	microtubule of pronephric duct
GO:0005874^OBO_REL:part_of(TAO:0000084)	microtubule of yolk
GO:0046785	microtubule polymerization
GO:0051013	microtubule severing
TAO:0009359	microvillous olfactory receptor neuron
GO:0005902^OBO_REL:part_of(TAO:0000309)	microvillus of E-YSL
GO:0005902^OBO_REL:part_of(TAO:0009269)	microvillus of enterocyte
GO:0005902^OBO_REL:part_of(TAO:0005124)	microvillus of intestinal epithelium
GO:0005902^OBO_REL:part_of(TAO:0001558)	microvillus of pronephric tubule
GO:0005902^OBO_REL:part_of(TAO:0000144)	microvillus of retinal pigmented epithelium
TAO:0005010	mid cerebral vein
TAO:0005127	mid intestine epithelium
GO:0030496^OBO_REL:part_of(CARO:0000013)	midbody of cell
TAO:0000128	midbrain
GO:0030901	midbrain development
TAO:0000042	midbrain hindbrain boundary
TAO:0007045	midbrain hindbrain boundary neural keel
TAO:0007044	midbrain hindbrain boundary neural plate
TAO:0007046	midbrain hindbrain boundary neural rod
TAO:0007047	midbrain hindbrain boundary neural tube
TAO:0007025	midbrain neural keel
TAO:0007032	midbrain neural rod
GO:0030917	midbrain-hindbrain boundary development
GO:0021547	midbrain-hindbrain boundary initiation
GO:0021732	midbrain-hindbrain boundary maturation
GO:0021555	midbrain-hindbrain boundary morphogenesis
GO:0021552	midbrain-hindbrain boundary structural organization
TAO:0000939	middle lateral line neuromast
TAO:0005078	middle mesencephalic central artery
CL:0000008	migratory cranial neural crest cell
CL:0000008^OBO_REL:part_of(TAO:0000069)	migratory cranial neural crest cell of rhombomere 6
CL:0000333	migratory neural crest cell
CL:0000333^OBO_REL:part_of(TAO:0000092)	migratory neural crest cell of axis
CL:0000333^OBO_REL:part_of(TAO:0001094)	migratory neural crest cell of body
CL:0000333^OBO_REL:part_of(TAO:0001597)	migratory neural crest cell of gill arch
CL:0000333^OBO_REL:part_of(TAO:0000029)	migratory neural crest cell of hindbrain
CL:0000333^OBO_REL:part_of(TAO:0000128)	migratory neural crest cell of midbrain
CL:0000333^OBO_REL:part_of(TAO:0001595)	migratory neural crest cell of pharyngeal arch 1
CL:0000333^OBO_REL:part_of(TAO:0001596)	migratory neural crest cell of pharyngeal arch 2
CL:0000333^OBO_REL:part_of(TAO:0001117)	migratory neural crest cell of post-vent region
GO:0000262^OBO_REL:part_of(TAO:0001094)	mitochondrial chromosome of body
GO:0032019^OBO_REL:part_of(TAO:0001109)	mitochondrial cloud of oocyte
GO:0032019^OBO_REL:part_of(TAO:0001567)	mitochondrial cloud of oocyte stage I
GO:0030061^OBO_REL:part_of(TAO:0009117)	mitochondrial crista of fast muscle cell
GO:0030061^OBO_REL:part_of(TAO:0009111)	mitochondrial crista of hepatocyte
GO:0030061^OBO_REL:part_of(TAO:0009115)	mitochondrial crista of skeletal muscle cell
GO:0006120	mitochondrial electron transport, NADH to ubiquinone
GO:0005759^OBO_REL:part_of(TAO:0000473)	mitochondrial matrix of trunk musculature
GO:0005739^OBO_REL:part_of(TAO:0001094)	mitochondrion of body
GO:0005739^OBO_REL:part_of(TAO:0009316)	mitochondrion of cardiac muscle cell
GO:0005739^OBO_REL:part_of(TAO:0009154)	mitochondrion of eye photoreceptor cell
GO:0005739^OBO_REL:part_of(TAO:0009117)	mitochondrion of fast muscle cell
GO:0005739^OBO_REL:part_of(TAO:0009111)	mitochondrion of hepatocyte
GO:0005739^OBO_REL:part_of(TAO:0009052)	mitochondrion of motor neuron
GO:0005739^OBO_REL:part_of(TAO:0009367)	mitochondrion of neuromast hair cell
GO:0005739^OBO_REL:part_of(TAO:0001567)	mitochondrion of oocyte stage I
GO:0005739^OBO_REL:part_of(TAO:0001565)	mitochondrion of oocyte stage II
GO:0005739^OBO_REL:part_of(TAO:0009115)	mitochondrion of skeletal muscle cell
GO:0005739^OBO_REL:part_of(TAO:0000075)	mitochondrion of spinal cord
GO:0007067	mitosis
GO:0000278	mitotic cell cycle
GO:0071850	mitotic cell cycle arrest
GO:0045448	mitotic cell cycle, embryonic
GO:0007100	mitotic centrosome separation
GO:0007076	mitotic chromosome condensation
GO:0007079	mitotic chromosome movement towards spindle pole
GO:0007080	mitotic metaphase plate congression
GO:0000236	mitotic prometaphase
GO:0000088	mitotic prophase
GO:0007064	mitotic sister chromatid cohesion
GO:0051306	mitotic sister chromatid separation
GO:0072686^OBO_REL:part_of(CARO:0000013)	mitotic spindle of cell
GO:0072686^OBO_REL:part_of(TAO:0009032)	mitotic spindle of ciliated cell
GO:0072686^OBO_REL:part_of(TAO:0000132)	mitotic spindle of neural plate
GO:0072686^OBO_REL:part_of(TAO:0009306)	mitotic spindle of neuroepithelial cell
GO:0007052	mitotic spindle organization
TAO:0000394	molecular layer corpus cerebelli
TAO:0000913	molecular layer valvula cerebelli
GO:0008028	monocarboxylic acid transmembrane transporter activity
TAO:0009265	monocyte
GO:0030224	monocyte differentiation
TAO:0009064^OBO_REL:part_of(TAO:0005029)	mononuclear phagocyte of rostral blood island
GO:0002011	morphogenesis of an epithelial sheet
GO:0016331	morphogenesis of embryonic epithelium
GO:0044458	motile cilium assembly
GO:0031514^OBO_REL:part_of(TAO:0000001)	motile cilium of Kupffer's vesicle
GO:0031514^OBO_REL:part_of(TAO:0000938)	motile cilium of central canal
GO:0031514^OBO_REL:part_of(TAO:0000022)	motile cilium of floor plate
GO:0031514^OBO_REL:part_of(TAO:0000554)	motile cilium of olfactory epithelium
GO:0031514^OBO_REL:part_of(TAO:0000051)	motile cilium of otic vesicle
GO:0031514^OBO_REL:part_of(TAO:0000150)	motile cilium of pronephric duct
GO:0031514^OBO_REL:part_of(TAO:0000151)	motile cilium of pronephros
GO:0031512^OBO_REL:part_of(TAO:0000001)	motile primary cilium of Kupffer's vesicle
GO:0031512^OBO_REL:part_of(TAO:0001094)	motile primary cilium of body
GO:0008045	motor axon guidance
TAO:0009052	motor neuron
TAO:0009052^OBO_REL:part_of(TAO:0000713)	motor neuron of abducens motor nucleus
TAO:0009052^OBO_REL:part_of(TAO:0000641)	motor neuron of cranial nerve
TAO:0009052^OBO_REL:part_of(TAO:0000206)	motor neuron of facial nerve motor nucleus
TAO:0009052^OBO_REL:part_of(TAO:0001114)	motor neuron of head
TAO:0009052^OBO_REL:part_of(TAO:0000075)	motor neuron of spinal cord
GO:0035765	motor neuron precursor migration involved in dorsal motor nucleus of vagus nerve formation
TAO:0000547	mouth
TAO:0009159	mucus secreting cell
GO:0035264	multicellular organism growth
GO:0007275	multicellular organismal development
GO:0071965	multicellular organismal locomotion
GO:0033555	multicellular organismal response to stress
TAO:0005242^OBO_REL:part_of(TAO:0000151)	multiciliated epithelial cell of pronephros
TAO:0005145	muscle
GO:0016203	muscle attachment
TAO:0009114	muscle cell
GO:0055001	muscle cell development
GO:0042692	muscle cell differentiation
GO:0042694	muscle cell fate specification
GO:0046716	muscle cell homeostasis
GO:0014812	muscle cell migration
TAO:0009114^OBO_REL:part_of(TAO:0001056)	muscle cell of myotome
TAO:0009114^OBO_REL:part_of(TAO:0001117)	muscle cell of post-vent region
TAO:0009114^OBO_REL:part_of(TAO:0000155)	muscle cell of somite
GO:0006936	muscle contraction
GO:0048747	muscle fiber development
GO:0005859^OBO_REL:part_of(TAO:0009114)	muscle myosin complex of muscle cell
TAO:0005145^OBO_REL:part_of(TAO:0001076)	muscle of intestinal bulb
TAO:0005145^OBO_REL:part_of(TAO:0001323)	muscle of mid intestine
TAO:0005145^OBO_REL:part_of(TAO:0001306)	muscle of pharyngeal arch
TAO:0005145^OBO_REL:part_of(TAO:0001115)	muscle of trunk
GO:0007517	muscle organ development
GO:0048644	muscle organ morphogenesis
TAO:0001086	muscle pioneer
TAO:0001086^OBO_REL:part_of(TAO:0001056)	muscle pioneer of myotome
TAO:0001086^OBO_REL:part_of(TAO:0000155)	muscle pioneer of somite
GO:0005927^OBO_REL:part_of(TAO:0005145)	muscle tendon junction of muscle
GO:0005927^OBO_REL:part_of(TAO:0001056)	muscle tendon junction of myotome
GO:0071689	muscle thin filament assembly
GO:0005862^OBO_REL:part_of(TAO:0009117)	muscle thin filament tropomyosin of fast muscle cell
GO:0060537	muscle tissue development
VSAO:0000033	muscular system
GO:0050881	musculoskeletal movement
GO:0050883	musculoskeletal movement, spinal reflex action
GO:0032288	myelin assembly
GO:0043209^OBO_REL:part_of(TAO:0009149)	myelin sheath of Mauthner neuron
GO:0043209^OBO_REL:part_of(TAO:0000175)	myelin sheath of posterior lateral line nerve
TAO:0009324	myeloid cell
GO:0033028	myeloid cell apoptosis
GO:0030099	myeloid cell differentiation
TAO:0009324^OBO_REL:part_of(TAO:0000094)	myeloid cell of blood island
TAO:0009324^OBO_REL:part_of(TAO:0005028)	myeloid cell of ventral wall of dorsal aorta
TAO:0009356	myeloid progenitor cell
TAO:0009356^OBO_REL:part_of(TAO:0000669)	myeloid progenitor cell of head kidney
GO:0007520	myoblast fusion
TAO:0009025^OBO_REL:part_of(TAO:0000465)	myoblast of adductor operculi
TAO:0009025^OBO_REL:part_of(TAO:0000498)	myoblast of dilator operculi
TAO:0009025^OBO_REL:part_of(TAO:0007053)	myoblast of dorsal adductor hyomandibulae
TAO:0009025^OBO_REL:part_of(TAO:0000384)	myoblast of levator arcus palatini
TAO:0009025^OBO_REL:part_of(TAO:0000537)	myoblast of levator operculi
GO:0051450	myoblast proliferation
ZFA:0005490	myocardial precursor
ZFA:0005490^OBO_REL:part_of(TAO:0000028)	myocardial precursor of heart primordium
TAO:0001319	myocardium
TAO:0001319^OBO_REL:part_of(TAO:0000154)	myocardium of sinus venosus
GO:0030239	myofibril assembly
GO:0030016^OBO_REL:part_of(TAO:0000471)	myofibril of atrium
GO:0030016^OBO_REL:part_of(TAO:0009316)	myofibril of cardiac muscle cell
GO:0030016^OBO_REL:part_of(TAO:0000009)	myofibril of cardiac ventricle
GO:0030016^OBO_REL:part_of(TAO:0009117)	myofibril of fast muscle cell
GO:0030016^OBO_REL:part_of(TAO:0000114)	myofibril of heart
GO:0030016^OBO_REL:part_of(TAO:0000301)	myofibril of medial rectus
GO:0030016^OBO_REL:part_of(TAO:0005145)	myofibril of muscle
GO:0030016^OBO_REL:part_of(TAO:0009114)	myofibril of muscle cell
GO:0030016^OBO_REL:part_of(TAO:0001086)	myofibril of muscle pioneer
GO:0030016^OBO_REL:part_of(TAO:0001319)	myofibril of myocardium
GO:0030016^OBO_REL:part_of(TAO:0001056)	myofibril of myotome
GO:0030016^OBO_REL:part_of(TAO:0005277)	myofibril of skeletal muscle
GO:0030016^OBO_REL:part_of(TAO:0009115)	myofibril of skeletal muscle cell
GO:0030016^OBO_REL:part_of(TAO:0009116)	myofibril of slow muscle cell
GO:0030016^OBO_REL:part_of(TAO:0000155)	myofibril of somite
GO:0030016^OBO_REL:part_of(TAO:0000473)	myofibril of trunk musculature
GO:0030016^OBO_REL:part_of(TAO:0005061)	myofibril of ventricular myocardium
TAO:0001089	myoseptum
TAO:0001089^OBO_REL:part_of(TAO:0001056)	myoseptum of myotome
GO:0016459^OBO_REL:part_of(TAO:0005274)	myosin complex of smooth muscle
GO:0016459^OBO_REL:part_of(TAO:0001462)	myosin complex of somite border
GO:0032982^OBO_REL:part_of(TAO:0009117)	myosin filament of fast muscle cell
GO:0032982^OBO_REL:part_of(TAO:0001056)	myosin filament of myotome
GO:0032982^OBO_REL:part_of(TAO:0009116)	myosin filament of slow muscle cell
TAO:0001056	myotome
GO:0061055	myotome development
TAO:0000365	nasal bone
GO:0070265	necrotic cell death
GO:0045746	negative regulation of Notch signaling pathway
GO:0032007	negative regulation of TOR signaling cascade
GO:0030178	negative regulation of Wnt receptor signaling pathway
GO:0016525	negative regulation of angiogenesis
GO:0090090	negative regulation of canonical Wnt receptor signaling pathway
GO:0050680	negative regulation of epithelial cell proliferation
GO:0010719	negative regulation of epithelial to mesenchymal transition
GO:0010459	negative regulation of heart rate
GO:0050768	negative regulation of neurogenesis
GO:0000122	negative regulation of transcription from RNA polymerase II promoter
GO:0045892	negative regulation of transcription, DNA-dependent
TAO:0007009^OBO_REL:part_of(TAO:0000142)	nerve of peripheral nervous system
TAO:0000396	nervous system
GO:0007399	nervous system development
TAO:0001066	neural arch
TAO:0000045	neural crest
GO:0014032	neural crest cell development
GO:0014033	neural crest cell differentiation
GO:0014036	neural crest cell fate specification
GO:0001755	neural crest cell migration
GO:0014029	neural crest formation
GO:0021505	neural fold folding
TAO:0000131	neural keel
TAO:0000132	neural plate
GO:0021999	neural plate anterior/posterior regionalization
GO:0001840	neural plate development
GO:0001839	neural plate morphogenesis
GO:0061351	neural precursor cell proliferation
GO:0003407	neural retina development
TAO:0000133	neural rod
TAO:0001336	neural spine
TAO:0001135	neural tube
GO:0001843	neural tube closure
GO:0021915	neural tube development
GO:0001841	neural tube formation
GO:0021532	neural tube patterning
TAO:0009080	neurectodermal cell
TAO:0009168	neuroblast (sensu Vertebrata)
TAO:0009168^OBO_REL:part_of(TAO:0001135)	neuroblast (sensu Vertebrata) of neural tube
TAO:0009168^OBO_REL:part_of(TAO:0000075)	neuroblast (sensu Vertebrata) of spinal cord
GO:0014019	neuroblast development
GO:0007405	neuroblast proliferation
TAO:0001321	neurocranial trabecula
TAO:0001580	neurocranium
TAO:0001120	neuroectoderm
TAO:0009098	neuroendocrine cell
